name,wins,losses,draws,weight_Normalized,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,division,age,reach_Normalized,height_Normalized,Physicality_Score,time_off,KO_Percentage,Striking_Score,Submission_Percentage,Grappling_Score,TotalFights,WinLossRatio,Experience_Score
Andre Winner,21,11,2,0.07518896698050656,2.52,0.33,4.57,0.51,0.0,0.0,0.74,0.0,Welterweight,43.0,0.5769230769230766,0.3793103448275862,1.0314223887311695,4974.0,0.0,0.08699999999999997,0.25,0.1365,34,0.6176470588235294,6.923529411764706
Derek Getzel,8,5,0,0.07518896698050656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Welterweight,38.13361169102296,0.5218723584108196,0.41379310344827575,1.0108544288396017,,0.0,0.0,0.0,0.0,13,0.6153846153846154,2.723076923076923
Levan Makashvili,15,2,1,0.06013791274366793,2.87,0.54,2.07,0.61,3.67,0.42,0.85,0.0,Featherweight,36.0,0.3846153846153846,0.2758620689655172,0.7206153663245697,3518.0,0.0,0.6065,0.0,3.818,18,0.8333333333333334,3.7666666666666666
Pete Rodriguez,5,1,0,0.07518896698050656,10.37,0.46,11.69,0.44,0.0,0.0,1.0,0.0,Welterweight,28.0,0.5,0.3103448275862067,0.8855337945667132,375.0,100.0,25.997,0.0,0.1,6,0.8333333333333334,1.366666666666667
Michal Oleksiejczuk,19,6,0,0.12027582548733588,5.12,0.5,4.17,0.62,0.76,0.44,0.48,0.0,Light Heavyweight,29.0,0.6153846153846154,0.41379310344827575,1.149453544320227,193.0,42.857142857142854,11.561785714285714,0.2857142857142857,0.9454285714285715,25,0.76,5.152
Tom Sauer,25,12,0,0.23756796180877868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Heavyweight,44.17465753424658,0.7320261437908496,0.4482758620689653,1.4178699676685937,,0.0,0.0,0.0,0.0,37,0.6756756756756757,7.535135135135135
Paul Creighton,3,1,0,0.07518896698050656,0.72,0.75,4.65,0.3,5.37,0.37,0.0,0.0,Welterweight,54.0,0.5218723584108196,0.20689655172413768,0.8039578771154638,,0.0,-0.3225,0.0,5.4255,4,0.75,0.9500000000000001
Corey Anderson,14,5,0,0.15037793396101312,4.43,0.46,2.22,0.59,4.89,0.5,0.83,0.0,Light Heavyweight,35.0,0.8076923076923075,0.5172413793103448,1.4753116209636654,1824.0,46.666666666666664,12.621666666666666,0.0,5.048,19,0.7368421052631579,3.947368421052632
Eddie Gordon,8,4,0,0.12027582548733588,2.03,0.32,2.57,0.6,1.93,0.83,0.63,0.0,Light Heavyweight,41.0,0.6923076923076921,0.41379310344827575,1.2263766212433036,3518.0,50.0,12.776,0.25,2.18,12,0.6666666666666666,2.5333333333333337
Stefan Leko,0,3,0,0.16539583609600847,2.4,0.43,6.17,0.68,0.0,0.0,0.0,0.0,Heavyweight,50.0,0.7320261437908496,0.48275862068965525,1.3801806005765134,,0.0,-0.13750000000000007,0.0,0.0,3,0.0,0.6000000000000001
Sergey Ignatov,0,1,0,0.1578703089775892,0.35,0.5,3.25,0.42,0.0,0.0,0.0,0.0,Heavyweight,44.17465753424658,0.7320261437908496,0.3103448275862067,1.2002412803546454,,0.0,-0.237,0.0,0.0,1,0.0,0.2
Jon Murphy,6,4,0,0.23305927595809578,3.93,0.66,8.85,0.43,0.0,0.0,0.0,0.0,Heavyweight,47.0,0.7320261437908496,0.5172413793103448,1.4823267990592903,,0.0,-0.14849999999999985,0.0,0.0,10,0.6,2.12
Patrick Speight,7,3,0,0.09773239623392123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middleweight,39.515151515151516,0.5968489341983318,0.4482758620689653,1.1428571925012183,,0.0,0.0,0.0,0.0,10,0.7,2.14
Dmitry Poberezhets,24,5,1,0.19848163373557884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Heavyweight,44.17465753424658,0.7320261437908496,0.5172413793103448,1.4477491568367733,,0.0,0.0,0.0,0.0,30,0.8,6.16
Marius Zaromskis,20,9,0,0.09773239623392123,5.02,0.34,5.93,0.5,0.73,0.42,0.73,0.0,Middleweight,44.0,0.5968489341983318,0.3103448275862067,1.0049261580184599,,0.0,0.5085,0.0,0.8659999999999999,29,0.6896551724137931,5.93793103448276
Marcos Mariano,6,6,0,0.07518896698050656,0.25,0.27,2.11,0.43,0.0,0.0,0.28,0.0,Welterweight,38.0,0.6923076923076921,0.4482758620689653,1.215772521357164,1971.0,0.0,-0.13549999999999995,0.5,0.153,12,0.5,2.5000000000000004
Todd Gouwenberg,9,5,0,0.15037793396101312,0.52,0.23,2.93,0.42,1.57,0.33,0.5,0.0,Light Heavyweight,50.0,0.6674641148325355,0.4482758620689653,1.266117910862514,,0.0,-0.20049999999999998,0.0,1.6695000000000002,14,0.6428571428571429,2.928571428571429
Willian Colorado,11,1,0,0.045086858506829315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Featherweight,35.8830242510699,0.5384615384615383,0.34482758620689663,0.9283759831752643,,0.0,0.0,0.0,0.0,12,0.9166666666666666,2.583333333333334
Nasrat Haqparast,15,5,0,0.07518896698050656,5.73,0.44,5.26,0.64,0.32,0.2,0.78,0.0,Welterweight,29.0,0.5384615384615383,0.34482758620689663,0.9584780916489415,235.0,23.076923076923077,6.59673076923077,0.0,0.428,20,0.75,4.15
Baergeng Jieleyisi,12,4,0,0.045086858506829315,2.53,0.38,3.87,0.45,0.0,0.0,0.0,0.0,Featherweight,29.0,0.5,0.3103448275862067,0.855431686093036,81.0,0.0,0.1954999999999999,0.0,0.0,16,0.75,3.35
Tommy Speer,21,7,0,0.09773239623392123,2.56,0.51,5.12,0.35,2.02,0.33,0.33,0.0,Middleweight,40.0,0.5,0.34482758620689663,0.9425599824408178,,0.0,0.026499999999999968,0.0,2.1025,28,0.75,5.750000000000001
Priscila Cachoeira,12,5,0,0.030068956371833978,4.12,0.43,7.13,0.45,0.18,0.33,0.65,0.0,Flyweight,36.0,0.26923076923076916,0.24137931034482762,0.5406790359474307,389.0,20.0,5.114000000000001,0.4,0.39449999999999996,17,0.7058823529411765,3.5411764705882356
Solomon Hutcherson,11,7,0,0.12027582548733588,2.59,0.39,2.59,0.64,3.53,1.0,0.0,0.0,Light Heavyweight,52.0,0.6674641148325355,0.3793103448275862,1.1670502851474576,,0.0,0.43300000000000005,0.0,3.6799999999999997,18,0.6111111111111112,3.7222222222222223
Rafael  Del Real,6,20,0,0.1804468903328471,5.58,0.4,0.0,0.0,20.93,1.0,1.0,0.0,Heavyweight,44.17465753424658,0.7320261437908496,0.3793103448275862,1.291783378951283,,0.0,1.475,0.0,21.18,26,0.23076923076923078,5.246153846153846
Antonio Duarte,19,7,0,0.045086858506829315,4.55,0.4,4.18,0.57,0.0,0.0,0.6,0.0,Featherweight,35.8830242510699,0.4423076923076923,0.24137931034482762,0.7287738611593493,,0.0,0.676,0.0,0.06,26,0.7307692307692307,5.346153846153847
Blake Bowman,2,6,0,0.09773239623392123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middleweight,39.515151515151516,0.5968489341983318,0.48275862068965525,1.1773399511219083,,0.0,0.0,0.0,0.0,8,0.25,1.6500000000000001
Justin Wilcox,14,7,0,0.07518896698050656,3.82,0.28,2.63,0.71,1.43,0.16,1.0,0.0,Welterweight,45.0,0.5218723584108196,0.20689655172413768,0.8039578771154638,,0.0,0.723,0.0,1.554,21,0.6666666666666666,4.333333333333334
Alan Gomez,2,0,0,0.07518896698050656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Welterweight,38.13361169102296,0.5218723584108196,0.3329867729451857,0.9300480983365118,,0.0,0.0,0.0,0.0,2,1.0,0.6000000000000001
Anthony Ruiz,33,22,0,0.15037793396101312,2.56,0.64,1.67,0.28,1.43,0.31,0.21,0.0,Light Heavyweight,47.0,0.6674641148325355,0.48275862068965525,1.300600669483204,,0.0,0.5595000000000001,0.0,1.4974999999999998,55,0.6,11.12
Josh Janousek,8,1,0,0.12027582548733588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Light Heavyweight,44.0,0.6674641148325355,0.3793103448275862,1.1670502851474576,,0.0,0.0,0.0,0.0,9,0.8888888888888888,1.9777777777777779
Josiah Harrell,7,0,0,0.09773239623392123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middleweight,26.0,0.3846153846153846,0.24137931034482762,0.7237270911941334,,0.0,0.0,0.0,0.0,7,1.0,1.6
Jodie Esquibel,6,6,0,0.01501790213499534,4.1,0.31,7.37,0.52,0.75,0.21,0.83,0.0,Strawweight,38.0,0.23076923076923084,0.03448275862068955,0.2802698915249157,2006.0,0.0,0.05950000000000011,0.0,0.8644999999999999,12,0.5,2.5000000000000004
Marcelo Guimaraes,9,2,1,0.12027582548733588,4.67,0.51,4.41,0.62,1.99,0.13,0.0,0.0,Light Heavyweight,41.0,0.5769230769230766,0.41379310344827575,1.1109920058586882,3266.0,50.0,13.201,0.0,2.0095,12,0.75,2.5500000000000003
Rick Davis,3,1,1,0.07518896698050656,3.09,0.5,6.19,0.64,0.0,0.0,0.0,0.0,Welterweight,38.13361169102296,0.5218723584108196,0.3103448275862067,0.9074061529775328,,0.0,0.039999999999999925,0.0,0.0,5,0.6,1.12
Gian Siqueira,19,5,0,0.09773239623392123,0.8,1.0,3.41,0.19,0.0,0.0,0.0,0.0,Middleweight,30.0,0.6153846153846154,0.4482758620689653,1.161392873687502,,0.0,-0.08299999999999996,0.0,0.0,24,0.7916666666666666,4.958333333333334
Konstantin Erokhin,9,3,0,0.18797241745126642,1.07,0.36,1.83,0.47,0.0,0.0,0.7,0.0,Heavyweight,42.0,0.7320261437908496,0.3793103448275862,1.2993089060697023,3351.0,0.0,0.1355,0.0,0.06999999999999999,12,0.75,2.5500000000000003
Vinicius Oliveira,19,3,0,0.045086858506829315,9.56,0.49,2.31,0.61,0.0,0.0,1.0,0.0,Featherweight,29.0,0.4615384615384617,0.3103448275862067,0.8169701476314977,228.0,50.0,14.732999999999999,0.0,0.1,22,0.8636363636363636,4.572727272727273
Magomed Ankalaev,18,1,1,0.15037793396101312,3.56,0.52,2.2,0.58,1.07,0.31,0.86,0.0,Light Heavyweight,32.0,0.6538461538461537,0.5172413793103448,1.3214654671175117,109.0,41.66666666666667,11.167666666666667,0.08333333333333333,1.2233333333333334,20,0.9,4.18
Gaetano Pirrello,15,7,1,0.045086858506829315,0.99,0.55,2.44,0.42,0.0,0.0,0.3,0.0,Featherweight,32.0,0.26923076923076916,0.24137931034482762,0.5556969380824262,1229.0,50.0,12.5545,0.0,0.03,23,0.6521739130434783,4.730434782608696
Derek Bohi,8,5,0,0.23305927595809578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Heavyweight,44.17465753424658,0.7320261437908496,0.5517241379310344,1.5168095576799798,,0.0,0.0,0.0,0.0,13,0.6153846153846154,2.723076923076923
Nick Sperling,3,4,0,0.045086858506829315,1.4,0.25,1.4,0.66,0.0,0.0,0.0,0.0,Featherweight,35.8830242510699,0.4423076923076923,0.2688069758224335,0.7562015266369551,,0.0,0.28900000000000003,0.0,0.0,7,0.42857142857142855,1.4857142857142858
Cheyden Leialoha,6,0,0,0.045086858506829315,1.87,0.28,3.2,0.53,2.0,0.33,0.71,0.0,Featherweight,30.0,0.5769230769230766,0.2758620689655172,0.8978720043954231,,0.0,0.12300000000000011,0.0,2.1205000000000003,6,1.0,1.4000000000000001
Vinicius Salvador,14,6,0,0.030068956371833978,5.44,0.42,6.05,0.49,0.38,0.11,0.86,0.0,Flyweight,28.0,0.4615384615384617,0.24137931034482762,0.7329867282551232,270.0,33.33333333333333,8.943333333333332,0.0,0.48250000000000004,20,0.7,4.14
Marvin Eastman,18,15,1,0.12027582548733588,2.21,0.35,3.92,0.42,1.38,0.33,0.81,0.0,Light Heavyweight,53.0,0.5769230769230766,0.3103448275862067,1.0075437299966192,,0.0,0.09750000000000003,0.0,1.5105,34,0.5294117647058824,6.905882352941177
Zoila Frausto,13,5,0,0.045086858506829315,0.77,0.31,1.64,0.53,0.0,0.0,0.57,0.0,Featherweight,35.8830242510699,0.4423076923076923,0.1379310344827586,0.6253255852972802,,0.0,0.08800000000000005,0.0,0.056999999999999995,18,0.7222222222222222,3.7444444444444445
