RedFighter,BlueFighter,Winner,Date,Red_Striking_Score,Red_Grappling_Score,Red_Experience_Score,Red_Physicality_Score,Red_Age,Blue_Striking_Score,Blue_Grappling_Score,Blue_Experience_Score,Blue_Physicality_Score,Blue_Age,Experience_Difference,Striking_Difference,Grappling_Difference,Physicality_Difference,age_Difference
Krzysztof Soszynski,Stephan Bonnar,0,2010-07-03,13.038,1.6284999999999998,7.9333333333333345,1.3294230267992093,47.0,12.8925,2.4400000000000004,4.925000000000001,1.509794379584355,47.0,3.0083333333333337,0.14550000000000018,0.8115000000000006,0.1803713527851456,0.0
George Sotiropoulos,Kurt Pellegrino,1,2010-07-03,8.762333333333332,4.061166666666667,4.333333333333334,0.9200165531874032,47.0,0.502,3.933333333333333,4.739130434782609,0.8125894974844854,45.0,0.4057971014492754,8.260333333333332,0.1278333333333337,0.10742705570291777,2.0
Brock Lesnar,Shane Carwin,1,2010-07-03,17.451666666666664,4.625833333333333,1.725,1.6424415670022443,47.0,9.072333333333331,1.5948333333333333,2.9714285714285715,1.569497269920016,50.0,1.2464285714285714,8.379333333333333,3.0309999999999993,0.07294429708222827,3.0
Seth Petruzelli,Ricardo Romero,0,2010-07-03,12.895000000000001,3.0069999999999997,4.527272727272727,1.256478729716981,45.0,16.672666666666665,5.128333333333333,2.9571428571428573,1.256478729716981,46.0,1.57012987012987,3.777666666666663,2.1213333333333333,0.0,1.0
Kendall Grove,Goran Reljic,1,2010-07-03,6.6305,2.3135,8.115,1.5486577883520571,42.0,0.1815,2.8979999999999997,4.730434782608696,1.5522346978867425,40.0,3.3845652173913043,6.449,0.5844999999999998,0.0035769095346853685,2.0
Gerald Harris,David Branch,1,2010-07-03,8.599833333333333,3.1963333333333335,5.764285714285715,1.2303554010841529,45.0,8.623833333333332,2.7243333333333335,5.757142857142858,1.3377824567870702,43.0,0.0071428571428571175,0.023999999999999133,0.472,0.10742705570291733,2.0
Forrest Petz,Daniel Roberts,0,2010-07-03,12.881,1.516,7.344444444444445,0.9080772238201279,49.0,3.5224285714285712,5.137428571428571,4.536363636363637,1.0579445978254332,44.0,2.808080808080808,9.358571428571429,3.621428571428571,0.14986737400530525,5.0
Jon Madsen,Karlos Vemola,1,2010-07-03,6.891500000000001,1.4965000000000002,2.16,1.1552449614960758,45.0,4.408166666666666,3.8235,4.554545454545455,1.1879150827817653,39.0,2.3945454545454545,2.4833333333333343,2.327,0.03267012128568947,6.0
Brendan Schaub,Chris Tuchscherer,1,2010-07-03,10.5565,2.8859999999999997,3.1333333333333333,1.5314707538664845,41.0,24.9945,1.8169999999999997,5.168,1.40514189978955,49.0,2.034666666666667,14.437999999999999,1.069,0.1263288540769345,8.0
Jon Jones,Vladimir Matyushenko,1,2010-08-01,8.844236842105262,2.645131578947369,5.792857142857144,1.7667486704863984,37.0,17.075166666666664,3.5306666666666664,7.154285714285714,1.1795556527939044,54.0,1.3614285714285703,8.230929824561402,0.8855350877192976,0.587193017692494,17.0
Mark Munoz,Yushin Okami,0,2010-08-01,8.961833333333331,3.9121666666666663,4.14,1.0340689289356115,47.0,8.676833333333331,2.6433333333333335,9.347826086956523,1.2343371707697304,43.0,5.207826086956524,0.28500000000000014,1.2688333333333328,0.20026824183411884,4.0
John Howard,Jake Ellenberger,0,2010-08-01,7.070181818181817,3.2265,7.5297297297297305,0.8775732450402871,41.0,14.834684210526317,2.622815789473684,9.334782608695653,0.9080772238201279,39.0,1.8050528789659221,7.7645023923445,0.6036842105263163,0.03050397877984079,2.0
Tyson Griffin,Takanori Gomi,0,2010-08-01,10.761999999999999,2.898,4.9333333333333345,0.6516498490831901,40.0,12.134961538461537,2.267423076923077,9.942857142857143,0.7781067388637959,46.0,5.009523809523809,1.3729615384615386,0.6305769230769229,0.12645688978060576,6.0
DaMarques Johnson,Matthew Riddle,0,2010-08-01,15.7405,2.0439999999999996,6.1,1.1998544121490404,42.0,4.673166666666665,4.1739999999999995,2.3454545454545457,1.2383159506105788,39.0,3.754545454545454,11.067333333333336,2.13,0.038461538461538325,3.0
James Irvin,Igor Pokrajac,0,2010-08-01,0.07699999999999996,0.661,5.525925925925926,1.2869827084968222,46.0,5.0735,1.2145000000000001,8.33658536585366,1.1795556527939044,46.0,2.8106594399277336,4.9965,0.5535000000000001,0.10742705570291777,0.0
Brian Stann,Mike Massenzio,1,2010-08-01,14.880714285714284,0.5694285714285714,3.7333333333333334,1.214038411414594,44.0,0.15249999999999997,4.376,4.5181818181818185,1.1799575231000676,42.0,0.7848484848484851,14.728214285714284,3.806571428571429,0.03408088831452627,2.0
